标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
[世界杯]世界杯在即 绝代双骄各自备战,https://tv.cctv.com/2026/06/05/VIDE53jQqO8fq6pAOjW6ettA260605.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/05/2026060509040759825.jpg,,视频,世界杯在即，绝代双骄C罗和梅西都跟随球队进行备战。,央视网,VIDE53jQqO8fq6pAOjW6ettA260605,
[世界杯]足球热情遇上飓风季,https://tv.cctv.com/2026/06/04/VIDEjDZUb36lgwraCjwelV0S260604.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/05/2026060507585333012.jpg,,视频,佛罗里达州迈阿密迎来世界杯备战热潮，全城涌动浓厚足球热情，不巧赛事周期恰逢当地飓风季。,央视网,VIDEjDZUb36lgwraCjwelV0S260604,
[足球之夜]中国裁判：出征的这一天,https://tv.cctv.com/2026/06/04/VIDEviXSugauPy3LTRx2hjgK260604.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/04/2026060419025446712.jpg,,视频,出征之日如期到来，马宁、傅明、周飞三名中国裁判启程奔赴美加墨世界杯。三人以完整裁判组身份征战顶级赛事，怀揣期许，力争在国际赛场展现中国裁判专业水准。,央视网,VIDEviXSugauPy3LTRx2hjgK260604,
[世界杯]世界杯准备好了吗？,https://tv.cctv.com/2026/06/04/VIDE4GwQGgtXNMd9L8q7Jhwe260604.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/04/2026060418445434717.jpg,,视频,世界杯筹备进入收尾，纽约新泽西球场配套落地。赛场自用车位封闭，周边商超停车费高昂，当地增开专线公交，赛事带动周边酒店房价上涨。,央视网,VIDE4GwQGgtXNMd9L8q7Jhwe260604,
[世界杯]哈里·凯恩与个人蜡像首次同框,https://tv.cctv.com/2026/06/04/VIDEQaQHoenmJOTQ5Ty0A2hd260604.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/04/4e0c707f71a0469cbb53039a79220c53-62024677-2.jpg,,视频,世界杯开幕前夕，英格兰队的队长哈里·凯恩与个人蜡像首次同框。,央视网,VIDEQaQHoenmJOTQ5Ty0A2hd260604,
[世界杯]德拉富恩特：养伤练兵两不误 友谊赛中无友谊,https://tv.cctv.com/2026/06/04/VIDEvbDvtTshGhfokoJSPiFN260604.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/04/c599efa0cd7340e9af341ca68dd8c599-62024521-1.jpg,,视频,西班牙队将与伊拉克队踢一场友谊赛，赛前西班牙主教练德拉富恩特谈到了亚马尔的伤病情况。,央视网,VIDEvbDvtTshGhfokoJSPiFN260604,
[世界杯]北美巡展最后一站 大力神杯落脚纽约,https://tv.cctv.com/2026/06/04/VIDEa3ixpOxZnT7vUWO4wkNj260604.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/04/a52a4057b2cc47aca009d4be0293b607-62024417-1.jpg,,视频,美加墨世界杯日益临近，大力神杯的北美巡展来到美国纽约。,央视网,VIDEa3ixpOxZnT7vUWO4wkNj260604,
104场比赛39天精彩不停！美加墨世界杯观赛指南来了,https://sports.cctv.com/2026/06/03/ARTItHpmY02sPXWss8XhcdQn260603.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/03/2026060318561536789.jpg,,文章,还有不到10天！北京时间2026年6月12日凌晨美加墨世界杯将正式拉开大幕首次三国联办首次48支球队参赛104场比赛横跨16座城市规模创历史之最新赛制怎么看哪些比赛不容错过为你提前划重点↓,央视网,ARTItHpmY02sPXWss8XhcdQn260603,
[世界杯]南非队抵达墨西哥 静待世界杯揭幕战,https://tv.cctv.com/2026/06/03/VIDEIPeia2KIW8tH53spBQ9X260603.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/03/2026060319015869547.jpg,,视频,南非国家队抵达墨西哥驻地集训，全队潜心磨合战术、调整身体状态，静心休整打磨细节，全力备战即将到来的世界杯揭幕大战。,央视网,VIDEIPeia2KIW8tH53spBQ9X260603,
[世界杯]梅西参加阿根廷队美国首次训练,https://tv.cctv.com/2026/06/03/VIDE51MWuZW0eU6ouYeVpcp6260603.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/03/2026060318590867296.jpg,,视频,北京时间6月2日，梅西参加了阿根廷队2026年世界杯赴美后的首次训练。,央视网,VIDE51MWuZW0eU6ouYeVpcp6260603,
美加墨世界杯确定全部阵容名单,https://sports.cctv.com/2026/06/03/ARTIbYrwschMsGZ5ieWKdCpd260603.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/03/2026060315580850557.jpg,,文章,国际足联2日宣布，全部48支参赛队已确定总计1248人的球员名单。阿根廷的梅西、葡萄牙的C罗和墨西哥门将奥乔亚都将第六次征战世界杯。,央视网,ARTIbYrwschMsGZ5ieWKdCpd260603,
[世界杯]“三狮军团”严阵以待,https://tv.cctv.com/2026/06/03/VIDEayaQnJLcbRXhv6ulariG260603.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/03/2026060309150210041.jpg,,视频,美国当地时间6月2日，英格兰队完成集结后的首场训练课。,央视网,VIDEayaQnJLcbRXhv6ulariG260603,
[世界杯]“橙衣军团”黑衣备战,https://tv.cctv.com/2026/06/03/VIDEOM9FSaA3ww6GaUHOo5r2260603.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/03/2026060309241699675.jpg,,视频,当地时间6月2日，荷兰队完成出征世界杯前的最后一堂训练课。,央视网,VIDEOM9FSaA3ww6GaUHOo5r2260603,
[世界杯]“桑巴军团”抵达新泽西,https://tv.cctv.com/2026/06/03/VIDEywltXlcPSdvetZmJ3SkN260603.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/03/2026060309270446631.jpg,,视频,美国当地时间6月2日，“桑巴军团”巴西国家队抵达新泽西，正式开启世界杯之旅。,央视网,VIDEywltXlcPSdvetZmJ3SkN260603,
[世界杯]萨利巴预计缺席法国队热身赛,https://tv.cctv.com/2026/06/02/VIDEvX003eLcAaY2B0DejNTZ260602.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/02/2026060218434114665.jpg,,视频,近日，萨利巴因为伤病预计缺席法国队热身赛。,央视网,VIDEvX003eLcAaY2B0DejNTZ260602,
